virus	host	realm
Human polyomavirus 1	human:vertebrates	Monodnaviria
Human polyomavirus 6	human	Monodnaviria
Human polyomavirus 7	human	Monodnaviria
Human polyomavirus 9	human	Monodnaviria
Human smacovirus 1	human	Monodnaviria
Human stool-associated circular virus NG13	human	Monodnaviria
Hybanthus yellow mosaic virus	land plants	Monodnaviria
Hypericum japonicum associated circular DNA virus	land plants	Monodnaviria
Indian cassava mosaic virus	land plants	Monodnaviria
Indian encephalitis associated cyclovirus	human	Monodnaviria
Iotapapillomavirus 1	vertebrates	Monodnaviria
Rattus norvegicus papillomavirus 3	vertebrates	Monodnaviria
Ipomoea yellow vein virus	land plants	Monodnaviria
JC polyomavirus	human	Monodnaviria
Jacquemontia mosaic Yucatan virus	land plants	Monodnaviria
Jacquemontia yellow mosaic virus	land plants	Monodnaviria
Jacquemontia yellow vein virus	land plants	Monodnaviria
Jatropha leaf crumple virus	land plants	Monodnaviria
Jatropha leaf curl Gujarat virus	land plants	Monodnaviria
Jatropha leaf curl virus	land plants	Monodnaviria
Jatropha leaf yellow mosaic Katarniaghat virus	land plants	Monodnaviria
Jatropha mosaic India virus-[Lucknow]	land plants	Monodnaviria
Jatropha mosaic Nigeria virus	land plants	Monodnaviria
Jatropha mosaic virus	land plants	Monodnaviria
Jatropha yellow mosaic virus	land plants	Monodnaviria
Juncus maritimus associated virus	land plants	Monodnaviria
Junonia coenia densovirus	invertebrates	Monodnaviria
Mythimna loreyi densovirus	invertebrates	Monodnaviria
Pseudoplusia includens densovirus	invertebrates	Monodnaviria
Kappapapillomavirus 2	vertebrates	Monodnaviria
Kenaf leaf curl virus-[India:Bahraich:2007]	land plants	Monodnaviria
Kudzu mosaic virus	land plants	Monodnaviria
LI polyomavirus	human	Monodnaviria
Labidocera aestiva circovirus	invertebrates	Monodnaviria
Lagomorph bocaparvovirus 1	vertebrates	Monodnaviria
Lama associated gemycircularvirus 1	vertebrates	Monodnaviria
Lambdapapillomavirus 2	vertebrates	Monodnaviria
Lemur associated porprismacovirus 1	vertebrates	Monodnaviria
Leonurus mosaic virus	land plants	Monodnaviria
Leptonychotes weddellii papillomavirus 1	vertebrates	Monodnaviria
Leptonychotes weddellii papillomavirus 2	vertebrates	Monodnaviria
Leptonychotes weddellii papillomavirus 3	vertebrates	Monodnaviria
Leptonychotes weddellii papillomavirus 4	vertebrates	Monodnaviria
Leptonychotes weddellii papillomavirus 5	vertebrates	Monodnaviria
Leptonychotes weddellii papillomavirus 6	vertebrates	Monodnaviria
Leptonychotes weddellii polyomavirus 1	vertebrates	Monodnaviria
Lepus americanus faeces associated genomovirus SHP111	vertebrates	Monodnaviria
Lepus americanus faeces associated genomovirus SHP7	vertebrates	Monodnaviria
Limeum africanum associated virus	land plants	Monodnaviria
Lindernia anagallis yellow vein virus	land plants	Monodnaviria
Lineavirus I22	bacteria	Monodnaviria
Lisianthus enation leaf curl virus	land plants	Monodnaviria
Littorina sp. associated circular virus	invertebrates	Monodnaviria
Ludwigia yellow vein Vietnam virus	land plants	Monodnaviria
Ludwigia yellow vein virus	land plants	Monodnaviria
Luffa yellow mosaic virus	land plants	Monodnaviria
Lupine bocavirus	vertebrates	Monodnaviria
Lycianthes yellow mosaic virus	land plants	Monodnaviria
Lynx canadensis faeces associated genomovirus CL1 148	vertebrates	Monodnaviria
Lynx canadensis faeces associated genomovirus CL1 48	vertebrates	Monodnaviria
Lytechinus variegatus variable sea urchin associated circular virus	invertebrates	Monodnaviria
MSSI2.225 virus	human	Monodnaviria
Sewage-associated gemycircularvirus-10a	human	Monodnaviria
MW polyomavirus	human	Monodnaviria
Macaca fascicularis papillomavirus 2	vertebrates	Monodnaviria
Macaca fascicularis polyomavirus 1	vertebrates	Monodnaviria
Macaca mulatta papillomavirus 2	vertebrates	Monodnaviria
Macaca mulatta papillomavirus 3	vertebrates	Monodnaviria
Macaca mulatta papillomavirus 4	vertebrates	Monodnaviria
Macaca mulatta papillomavirus 5	vertebrates	Monodnaviria
Macaca mulatta papillomavirus 6	vertebrates	Monodnaviria
Macaca mulatta papillomavirus 7	vertebrates	Monodnaviria
Macaca mulatta polyomavirus 1	human:vertebrates	Monodnaviria
Macroptilium bright mosaic virus	land plants	Monodnaviria
Macroptilium common mosaic virus	land plants	Monodnaviria
Macroptilium golden mosaic virus	land plants	Monodnaviria
Macroptilium golden yellow mosaic virus	land plants	Monodnaviria
Macroptilium mosaic Puerto Rico virus	land plants	Monodnaviria
Macroptilium yellow mosaic virus	land plants	Monodnaviria
Macroptilium yellow net virus	land plants	Monodnaviria
Macroptilium yellow spot virus	land plants	Monodnaviria
Macroptilium yellow vein virus	land plants	Monodnaviria
Maize streak Reunion virus	land plants	Monodnaviria
Maize streak dwarfing virus	land plants	Monodnaviria
Maize streak virus - A[Ama]	land plants	Monodnaviria
Maize striate mosaic virus	land plants	Monodnaviria
Malachra yellow mosaic virus	land plants	Monodnaviria
Mallard associated gemycircularvirus 1	vertebrates	Monodnaviria
Malvastrum bright yellow mosaic virus	land plants	Monodnaviria
Malvastrum leaf curl Guangdong virus	land plants	Monodnaviria
Malvastrum leaf curl Philippines virus	land plants	Monodnaviria
Malvastrum leaf curl virus	land plants	Monodnaviria
Malvastrum yellow mosaic Helshire virus	land plants	Monodnaviria
Malvastrum yellow mosaic Jamaica virus	land plants	Monodnaviria
Malvastrum yellow mosaic virus	land plants	Monodnaviria
Malvastrum yellow vein Baoshan virus	land plants	Monodnaviria
Malvastrum yellow vein virus	land plants	Monodnaviria
Malvastrum yellow vein Cambodia virus	land plants	Monodnaviria
Malvastrum yellow vein Changa Manga virus	land plants	Monodnaviria
Mesta yellow vein mosaic virus	land plants	Monodnaviria
Malvastrum yellow vein Honghe virus	land plants	Monodnaviria
Malvastrum yellow vein Lahore virus	land plants	Monodnaviria
Malvastrum yellow vein Yunnan virus	land plants	Monodnaviria
Marbled eel polyomavirus	vertebrates	Monodnaviria
Marine snail associated circular virus	invertebrates	Monodnaviria
Mastomys natalensis polyomavirus 1	vertebrates	Monodnaviria
Mastomys natalensis polyomavirus 2	vertebrates	Monodnaviria
Mastomys natalensis polyomavirus 3	vertebrates	Monodnaviria
Megabat bufavirus 1	vertebrates	Monodnaviria
Meles meles circovirus-like virus	vertebrates	Monodnaviria
Meles meles polyomavirus 1	vertebrates	Monodnaviria
Melochia mosaic virus	land plants	Monodnaviria
Melochia yellow mosaic virus	land plants	Monodnaviria
Melon chlorotic leaf curl virus-[Guatemala]	land plants	Monodnaviria
Melon chlorotic mosaic virus	land plants	Monodnaviria
Melon yellow mosaic virus	land plants	Monodnaviria
Merkel cell polyomavirus	human	Monodnaviria
Merremia mosaic Puerto Rico virus	land plants	Monodnaviria
Merremia mosaic virus	land plants	Monodnaviria
Mesocricetus auratus papillomavirus 1	vertebrates	Monodnaviria
Mesta yellow vein mosaic Bahraich virus	land plants	Monodnaviria
Milk vetch dwarf virus	land plants	Monodnaviria
Mimosa yellow leaf curl virus	land plants	Monodnaviria
Miniopterus africanus polyomavirus 1	vertebrates	Monodnaviria
Miniopterus associated gemycircularvirus 1	vertebrates	Monodnaviria
Miniopterus schreibersii bat bocavirus	vertebrates	Monodnaviria
Miniopterus schreibersii papillomavirus 1	vertebrates	Monodnaviria
Miniopterus schreibersii polyomavirus 1	vertebrates	Monodnaviria
Miniopterus schreibersii polyomavirus 2	vertebrates	Monodnaviria
Mink bocavirus 1	vertebrates	Monodnaviria
Mink circovirus	vertebrates	Monodnaviria
Mirabilis leaf curl virus	land plants	Monodnaviria
Miscanthus streak virus - [91]	land plants	Monodnaviria
Molossus molossus circovirus 1	vertebrates	Monodnaviria
Molossus molossus circovirus 2	vertebrates	Monodnaviria
Molossus molossus circovirus 3	vertebrates	Monodnaviria
Molossus molossus circovirus 4	vertebrates	Monodnaviria
Molossus molossus papillomavirus 1	vertebrates	Monodnaviria
Mongoose feces-associated gemycircularvirus a	vertebrates	Monodnaviria
Rhinolophus associated gemykibivirus 1	vertebrates	Monodnaviria
Mongoose feces-associated gemycircularvirus b	vertebrates	Monodnaviria
Mongoose feces-associated gemycircularvirus d	vertebrates	Monodnaviria
Morelia spilota papillomavirus 1	vertebrates	Monodnaviria
Mosquito VEM virus SDBVL G	invertebrates	Monodnaviria
Mosquito circovirus	invertebrates	Monodnaviria
Mouse associated cyclovirus 1	vertebrates	Monodnaviria
Mouse kidney parvovirus	vertebrates	Monodnaviria
Mulberry mosaic dwarf associated virus	land plants	Monodnaviria
Mungbean yellow mosaic India virus	land plants	Monodnaviria
Mungbean yellow mosaic virus	land plants	Monodnaviria
Mupapillomavirus 1	human	Monodnaviria
Murine adeno-associated virus 1	vertebrates	Monodnaviria
Murine adeno-associated virus 2	vertebrates	Monodnaviria
Murine bocavirus	vertebrates	Monodnaviria
Murine polyomavirus strain BG	vertebrates	Monodnaviria
Mus musculus polyomavirus 3	vertebrates	Monodnaviria
Mustela putorius papillomavirus 1	vertebrates	Monodnaviria
Myocastor coypus polyomavirus 1	vertebrates	Monodnaviria
Myotis myotis bocavirus 1	vertebrates	Monodnaviria
Myotis ricketti papillomavirus 1	vertebrates	Monodnaviria
Mytilus sp. clam associated circular virus	invertebrates	Monodnaviria
New Jersey polyomavirus-2013	human	Monodnaviria
Niminivirus	vertebrates	Monodnaviria
Oat dwarf virus	land plants	Monodnaviria
Ocimum golden mosaic virus	land plants	Monodnaviria
Ocimum mosaic virus	land plants	Monodnaviria
Ocimum yellow vein virus	land plants	Monodnaviria
Odonata associated gemycircularvirus 1	invertebrates	Monodnaviria
Odonata associated gemycircularvirus 2	invertebrates	Monodnaviria
Odonata-associated circular virus 21	invertebrates	Monodnaviria
Odonata-associated circular virus 5	invertebrates	Monodnaviria
Okra enation leaf curl virus	land plants	Monodnaviria
Okra enation leaf curl virus [India:Munthal EL37:2006]	land plants	Monodnaviria
Okra leaf curl Cameroon virus	land plants	Monodnaviria
Okra leaf curl India virus [India:Sonipat EL14A:2006]	land plants	Monodnaviria
Okra leaf curl Oman virus	land plants	Monodnaviria
Okra leaf curl virus	land plants	Monodnaviria
Okra mottle virus	land plants	Monodnaviria
Okra yellow crinkle virus	land plants	Monodnaviria
Okra yellow mosaic Mexico virus	land plants	Monodnaviria
Okra yellow vein mosaic virus	land plants	Monodnaviria
Omikronpapillomavirus 1	vertebrates	Monodnaviria
Phocoena phocoena papillomavirus 1	vertebrates	Monodnaviria
Opuntia virus 1	invertebrates:land plants	Monodnaviria
Otomops polyomavirus KY156	vertebrates	Monodnaviria
Otomops polyomavirus KY157	vertebrates	Monodnaviria
Ovine hokovirus	vertebrates	Monodnaviria
Ovis aries papillomavirus 3	vertebrates	Monodnaviria
Oxalis yellow vein virus	land plants	Monodnaviria
Pacific flying fox associated cyclovirus-1	vertebrates	Monodnaviria
Pacific flying fox associated cyclovirus-2	vertebrates	Monodnaviria
Pacific flying fox associated cyclovirus-3	vertebrates	Monodnaviria
Pacific flying fox faeces associated gemycircularvirus-1	vertebrates	Monodnaviria
Pacific flying fox faeces associated gemycircularvirus-10	vertebrates	Monodnaviria
Pacific flying fox faeces associated gemycircularvirus-2	vertebrates	Monodnaviria
Pacific flying fox faeces associated gemycircularvirus-6	vertebrates	Monodnaviria
Pacific flying fox faeces associated gemycircularvirus-7	vertebrates	Monodnaviria
Paguma larvata circovirus	vertebrates	Monodnaviria
Palaemonetes intermedius brackish grass shrimp associated circular virus	invertebrates	Monodnaviria
Palaemonetes kadiakensis Mississippi grass shrimp associated circular virus	invertebrates	Monodnaviria
Palaemonetes sp. common grass shrimp associated circular virus	invertebrates	Monodnaviria
Pan troglodytes polyomavirus 3	vertebrates	Monodnaviria
Pan troglodytes troglodytes polyomavirus 1	vertebrates	Monodnaviria
Pan troglodytes verus polyomavirus 1a	vertebrates	Monodnaviria
Pan troglodytes verus polyomavirus 8	vertebrates	Monodnaviria
Panicum streak virus	land plants	Monodnaviria
Panthera leo polyomavirus 1	vertebrates	Monodnaviria
Papaya leaf crumple virus-Panipat 8 [India:Panipat:Papaya:2008]	land plants	Monodnaviria
Papaya leaf curl China virus	land plants	Monodnaviria
Papaya leaf curl Guandong virus	land plants	Monodnaviria
Papaya leaf curl virus	land plants	Monodnaviria
Parabacteroides phage YZ-2015a	bacteria	Monodnaviria
Parabacteroides phage YZ-2015b	bacteria	Monodnaviria
Parsley severe stunt associated virus	land plants	Monodnaviria
Parvovirus NIH-CQV	human:vertebrates	Monodnaviria
Parvovirus YX-2010/CHN	vertebrates	Monodnaviria
Ungulate tetraparvovirus 3	vertebrates	Monodnaviria
Paspalum dilatatum striate mosaic virus	land plants	Monodnaviria
Paspalum striate mosaic virus	land plants	Monodnaviria
Passion fruit chlorotic mottle virus	land plants	Monodnaviria
Passionfruit leaf distortion virus	land plants	Monodnaviria
Passionfruit severe leaf distortion virus	land plants	Monodnaviria
Pavonia mosaic virus	land plants	Monodnaviria
Pavonia yellow mosaic virus	land plants	Monodnaviria
Pea leaf distortion virus	land plants	Monodnaviria
Pea necrotic yellow dwarf virus	land plants	Monodnaviria
Pea yellow stunt virus	land plants	Monodnaviria
Pedilanthus leaf curl virus	land plants	Monodnaviria
Penaeus monodon circovirus VN11	invertebrates	Monodnaviria
Penaeus stylirostris penstyldensovirus 1	invertebrates	Monodnaviria
Penguin circovirus	vertebrates	Monodnaviria
Pepper blistering leaf virus	land plants	Monodnaviria
Pepper golden mosaic virus	land plants	Monodnaviria
Pepper huasteco yellow vein virus	land plants	Monodnaviria
Pepper leaf curl Bangladesh virus	land plants	Monodnaviria
Pepper leaf curl Lahore Virus-[Pakistan:Lahore1:2004]	land plants	Monodnaviria
Pepper leaf curl Yunnan virus-[YN323]	land plants	Monodnaviria
Pepper leaf curl virus	land plants	Monodnaviria
Pepper leafroll virus	land plants	Monodnaviria
Pepper yellow dwarf virus - Mexico	land plants	Monodnaviria
Pepper yellow leaf curl Aceh virus	land plants	Monodnaviria
Pepper yellow leaf curl Indonesia virus	land plants	Monodnaviria
Pepper yellow leaf curl Thailand virus	land plants	Monodnaviria
Pepper yellow leaf curl virus	land plants	Monodnaviria
Pepper yellow leaf curl virus PSSWS-14	land plants	Monodnaviria
Pepper yellow vein Mali virus	land plants	Monodnaviria
Peristrophe mosaic virus	land plants	Monodnaviria
Peromyscus papillomavirus 1	vertebrates	Monodnaviria
Petrochirus diogenes giant hermit crab associated circular virus	invertebrates	Monodnaviria
Philantomba monticola polyomavirus 1	vertebrates	Monodnaviria
Phocoena phocoena papillomavirus 2	vertebrates	Monodnaviria
Phocoena phocoena papillomavirus 4	vertebrates	Monodnaviria
Pig stool associated circular ssDNA virus GER2011	vertebrates	Monodnaviria
Piliocolobus badius polyomavirus 2	vertebrates	Monodnaviria
Piliocolobus rufomitratus polyomavirus 1	vertebrates	Monodnaviria
Planococcus citri densovirus	invertebrates	Monodnaviria
Plantago lanceolata latent virus	land plants	Monodnaviria
Pleurochrysis carterae circular virus	eukaryotic algae	Monodnaviria
Po-Circo-like virus 21	vertebrates	Monodnaviria
Po-Circo-like virus 41	vertebrates	Monodnaviria
Po-Circo-like virus 51	vertebrates	Monodnaviria
PoSCV Kor J481	vertebrates	Monodnaviria
Poaceae associated gemycircularvirus 1	land plants	Monodnaviria
Poecile atricapillus GI tract-associated gemycircularvirus	vertebrates	Monodnaviria
Polygala garcinii associated virus	land plants	Monodnaviria
Polyomavirus sp.	vertebrates	Monodnaviria
Porcine associated porprismacovirus 10	vertebrates	Monodnaviria
Porcine associated porprismacovirus 3	vertebrates	Monodnaviria
Porcine associated porprismacovirus 4	vertebrates	Monodnaviria
Porcine associated porprismacovirus 5	vertebrates	Monodnaviria
Porcine associated porprismacovirus 6	vertebrates	Monodnaviria
Porcine associated porprismacovirus 7	vertebrates	Monodnaviria
Porcine associated porprismacovirus 8	vertebrates	Monodnaviria
Porcine associated porprismacovirus 9	vertebrates	Monodnaviria
Porcine bocavirus	vertebrates	Monodnaviria
Porcine bocavirus 1 pig/ZJD/China/2006	vertebrates	Monodnaviria
Porcine bocavirus 3	vertebrates	Monodnaviria
Porcine bocavirus 4-1	vertebrates	Monodnaviria
Porcine bocavirus 5/JS677	vertebrates	Monodnaviria
Porcine bocavirus H18	vertebrates	Monodnaviria
Porcine circovirus 1	human:vertebrates	Monodnaviria
Porcine circovirus 2	human:vertebrates	Monodnaviria
Porcine circovirus 3	vertebrates	Monodnaviria
Porcine circovirus 4	vertebrates	Monodnaviria
Porcine circovirus type 1/2a	vertebrates	Monodnaviria
Porcine circovirus-like virus P1	vertebrates	Monodnaviria
Porcine feces-associated gemycircularvirus	vertebrates	Monodnaviria
Porcine hokovirus	vertebrates	Monodnaviria
Porcine partetravirus	vertebrates	Monodnaviria
Porcine parvovirus	vertebrates	Monodnaviria
Porcine parvovirus 2	vertebrates	Monodnaviria
Porcine parvovirus 4	vertebrates	Monodnaviria
Porcine parvovirus 5	vertebrates	Monodnaviria
Porcine parvovirus 6	vertebrates	Monodnaviria
Porcine parvovirus 7	vertebrates	Monodnaviria
Porcine polyomavirus	vertebrates	Monodnaviria
Porcine stool-associated circular virus	vertebrates	Monodnaviria
Porcine stool-associated circular virus 4	vertebrates	Monodnaviria
Porcine stool-associated circular virus 5	vertebrates	Monodnaviria
Porcine stool-associated circular virus/BEL/15V010	vertebrates	Monodnaviria
